image_path,medicine_name,generic_name,rxstring,rxcui,product_code,ndc9,size,shape,score,imprint,color,strength,ingredients,dosage_form,author,image_source,source_image,identity_label,split
data\public\pillbox\images\00007-4890-20_CB18E587.jpg,ropinirole 0.25 MG Oral Tablet [Requip],REQUIP,ropinirole 0.25 MG Oral Tablet [Requip],152952,0007-4890,000074890,8,FREEFORM,1,SB;4890,WHITE,ROPINIROLE HYDROCHLORIDE 0.25 mg,ROPINIROLE HYDROCHLORIDE[ROPINIROLE],C42931,GlaxoSmithKline LLC,NLM,00007-4890-20_CB18E587.jpg,0007-4890,train
data\public\pillbox\images\003786805.jpg,zaleplon 5 MG Oral Capsule,Zaleplon,zaleplon 5 MG Oral Capsule,313762,0378-6805,003786805,16,CAPSULE,1,G;ZA5,ORANGE,ZALEPLON 5 mg,ZALEPLON[ZALEPLON],C25158,Mylan Pharmaceuticals Inc.,NLM,003786805.jpg,0378-6805,train
data\public\pillbox\images\50111032801.jpg,hydralazine hydrochloride 50 MG Oral Tablet,Hydralazine Hydrochloride,hydralazine hydrochloride 50 MG Oral Tablet,905395,50111-328,501110328,9,ROUND,1,PLIVA;328,ORANGE,HYDRALAZINE HYDROCHLORIDE 50 mg,HYDRALAZINE HYDROCHLORIDE[HYDRALAZINE],C42998,"Teva Pharmaceuticals USA, Inc.",SPL,50111032801.jpg,50111-328,train
data\public\pillbox\images\000938741.jpg,mexiletine hydrochloride 250 MG Oral Capsule,Mexiletine Hydrochloride,mexiletine hydrochloride 250 MG Oral Capsule,1362720,0093-8741,000938741,22,CAPSULE,1,N;741;250,ORANGE;GREEN,MEXILETINE HYDROCHLORIDE 250 mg,MEXILETINE HYDROCHLORIDE[MEXILETINE],C25158,"Teva Pharmaceuticals USA, Inc.",NLM,000938741.jpg,0093-8741,val
data\public\pillbox\images\597623717.jpg,triazolam 0.125 MG Oral Tablet,Triazolam,triazolam 0.125 MG Oral Tablet,198317,59762-3717,597623717,8,OVAL,1,G3717,WHITE,TRIAZOLAM 0.125 mg,TRIAZOLAM[TRIAZOLAM],C42998,Greenstone LLC,NLM,597623717.jpg,59762-3717,val
data\public\pillbox\images\62175-0271-37_CD0866A3.jpg,24 HR oxybutynin chloride 10 MG Extended Release Oral Tablet,Oxybutynin Chloride,24 HR oxybutynin chloride 10 MG Extended Release Oral Tablet,863619,62175-271,621750271,8,ROUND,1,KU;271,WHITE,OXYBUTYNIN CHLORIDE 10 mg,OXYBUTYNIN CHLORIDE[OXYBUTYNIN],C42927,"Lannett Company, Inc.",NLM,62175-0271-37_CD0866A3.jpg,62175-271,train
data\public\pillbox\images\68382-0041-01_740E3A71.jpg,promethazine hydrochloride 25 MG Oral Tablet,Promethazine Hydrochloride,promethazine hydrochloride 25 MG Oral Tablet,992447,68382-041,683820041,8,ROUND,4,Z;C;0;2,WHITE,PROMETHAZINE HYDROCHLORIDE 25 mg,PROMETHAZINE HYDROCHLORIDE[PROMETHAZINE],C42998,Zydus Pharmaceuticals (USA) Inc.,NLM,68382-0041-01_740E3A71.jpg,68382-041,train
data\public\pillbox\images\576640136.jpg,VITAMIN D ERGOCALCIFEROL 1.25 mg,VITAMIN D,,,57664-136,576640136,5,OVAL,1,136,GREEN,ERGOCALCIFEROL 1.25 mg,ERGOCALCIFEROL[ERGOCALCIFEROL],C25158,"Sun Pharmaceutical Industries, Inc.",NLM,576640136.jpg,57664-136,train
data\public\pillbox\images\no_product_image.jpg,SINGISO (0.8g) ASIAN GINSENG 17.19 g,SINGISO (0.8g),,,69720-2001,697202001,180,OVAL,2,,BROWN,ASIAN GINSENG 17.19 g,ASIAN GINSENG[ASIAN GINSENG],C42998,"Sae In Dang Co., Ltd.",PKG,no_product_image.jpg,69720-2001,train
data\public\pillbox\images\647640310.jpg,24 HR metformin hydrochloride 1000 MG / pioglitazone 30 MG Extended Release Oral Tablet [Actoplus Met],Actoplus Met,24 HR metformin hydrochloride 1000 MG / pioglitazone 30 MG Extended Release Oral Tablet [Actoplus Met],900000,64764-310,647640310,13,ROUND,1,4833X;30;1000,WHITE,pioglitazone hydrochloride 30 mg;metformin hydrochloride 1000 mg,pioglitazone hydrochloride[pioglitazone];metformin hydrochloride[metformin],C42930,"Takeda Pharmaceuticals America, Inc.",NLM,647640310.jpg,64764-310,train
data\public\pillbox\images\005915238.jpg,Meprobamate MEPROBAMATE 400 mg,Meprobamate,,,0591-5238,005915238,11,ROUND,2,591;A,WHITE,MEPROBAMATE 400 mg,MEPROBAMATE[MEPROBAMATE],C42998,"Actavis Pharma, Inc.",NLM,005915238.jpg,0591-5238,train
data\public\pillbox\images\000390051.jpg,DiaBeta glyburide 2.5 mg,DiaBeta,,,0039-0051,000390051,13,OVAL,2,Dia;B,PINK,glyburide 2.5 mg,glyburide[glyburide],C42998,Sanofi-Aventis U.S. LLC,NLM,000390051.jpg,0039-0051,val
data\public\pillbox\images\619580501.jpg,adefovir dipivoxil 10 MG Oral Tablet [Hepsera],Hepsera,adefovir dipivoxil 10 MG Oral Tablet [Hepsera],881343,61958-0501,619580501,7,ROUND,1,Gilead;10,WHITE,adefovir dipivoxil 10 mg,adefovir dipivoxil[adefovir],C42998,"Gilead Sciences, Inc.",NLM,619580501.jpg,61958-0501,train
data\public\pillbox\images\00781-5181-01_6C23B66D.jpg,levothyroxine sodium 0.05 MG Oral Tablet,Levothyroxine sodium,levothyroxine sodium 0.05 MG Oral Tablet,966221,0781-5181,007815181,9,CAPSULE,2,50;GG;332,WHITE,LEVOTHYROXINE SODIUM 50 ug,LEVOTHYROXINE SODIUM[LEVOTHYROXINE],C42998,Sandoz Inc.,NLM,00781-5181-01_6C23B66D.jpg,0781-5181,train
data\public\pillbox\images\50111047101.jpg,Propranolol Hydrochloride PROPRANOLOL HYDROCHLORIDE 80 mg,Propranolol Hydrochloride,,,50111-471,501110471,10,ROUND,2,PLIVA;471,YELLOW,PROPRANOLOL HYDROCHLORIDE 80 mg,PROPRANOLOL HYDROCHLORIDE[PROPRANOLOL],C42998,"Teva Pharmaceuticals USA, Inc.",SPL,50111047101.jpg,50111-471,train
data\public\pillbox\images\00093-7290-56_NLMIMAGE10_A73953CA.jpg,raloxifene hydrochloride 60 MG Oral Tablet,Raloxifene Hydrochloride,raloxifene hydrochloride 60 MG Oral Tablet,1490065,0093-7290,000937290,12,OVAL,1,7290;93,WHITE,RALOXIFENE HYDROCHLORIDE 60 mg,RALOXIFENE HYDROCHLORIDE[RALOXIFENE],C42931,"Teva Pharmaceuticals USA, Inc.",NLM,00093-7290-56_NLMIMAGE10_A73953CA.jpg,0093-7290,train
data\public\pillbox\images\007812202.jpg,temazepam 30 MG Oral Capsule,Temazepam,temazepam 30 MG Oral Capsule,198242,0781-2202,007812202,16,CAPSULE,1,GG532,WHITE,TEMAZEPAM 30 mg,TEMAZEPAM[TEMAZEPAM],C25158,Sandoz Inc,NLM,007812202.jpg,0781-2202,train
data\public\pillbox\images\00093-0834-01_NLMIMAGE10_2D4296C4.jpg,clonazepam 2 MG Oral Tablet,Clonazepam,clonazepam 2 MG Oral Tablet,197529,0093-0834,000930834,8,ROUND,2,834;TEVA,WHITE,CLONAZEPAM 2 mg,CLONAZEPAM[CLONAZEPAM],C42998,"Teva Pharmaceuticals USA, Inc.",NLM,00093-0834-01_NLMIMAGE10_2D4296C4.jpg,0093-0834,train
data\public\pillbox\images\00093434656.jpg,Fluoxetine 40 MG Oral Capsule,Fluoxetine,Fluoxetine 40 MG Oral Capsule,313989,0093-4346,000934346,22,CAPSULE,1,4346;40;mg,BLUE,FLUOXETINE HYDROCHLORIDE 40 mg,FLUOXETINE HYDROCHLORIDE[FLUOXETINE],C25158,Teva Pharmaceuticals USA Inc,NLM,00093434656.jpg,0093-4346,train
data\public\pillbox\images\21130-0198-12_NLMIMAGE10_0D3906E8.jpg,Motion Sickness Relief DIMENHYDRINATE 50 mg,Motion Sickness Relief,,,21130-198,211300198,9,ROUND,2,44;198,WHITE,DIMENHYDRINATE 50 mg,DIMENHYDRINATE[DIPHENHYDRAMINE],C42998,"Better Living Brands, LLC",NLM,21130-0198-12_NLMIMAGE10_0D3906E8.jpg,21130-198,train
data\public\pillbox\images\683820314.jpg,24 HR divalproex sodium 250 MG Extended Release Oral Tablet,Divalproex Sodium,24 HR divalproex sodium 250 MG Extended Release Oral Tablet,1099563,68382-314,683820314,17,OVAL,1,a;HF,WHITE,DIVALPROEX SODIUM 250 mg,DIVALPROEX SODIUM[VALPROIC ACID],C42927,Zydus Pharmaceuticals USA Inc,NLM,683820314.jpg,68382-314,train
data\public\pillbox\images\658620194.jpg,fluoxetine 40 MG Oral Capsule,Fluoxetine,fluoxetine 40 MG Oral Capsule,313989,65862-194,658620194,18,CAPSULE,1,E;92,GREEN;ORANGE,FLUOXETINE HYDROCHLORIDE 40 mg,FLUOXETINE HYDROCHLORIDE[FLUOXETINE],C25158,Aurobindo Pharma Limited,NLM,658620194.jpg,65862-194,train
data\public\pillbox\images\00172524160.jpg,anagrelide 0.5 MG Oral Capsule,Anagrelide Hydrochloride,anagrelide 0.5 MG Oral Capsule,597850,0172-5241,001725241,14,CAPSULE,1,5241;0;5;mg,GRAY;WHITE,ANAGRELIDE HYDROCHLORIDE 0.5 mg,ANAGRELIDE HYDROCHLORIDE[ANAGRELIDE],C25158,"Teva Pharmaceuticals USA, Inc.",SPL,00172524160.jpg,0172-5241,train
data\public\pillbox\images\001156811.jpg,24 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet,Bupropion Hydrochloride,24 HR bupropion hydrochloride 150 MG Extended Release Oral Tablet,993541,0115-6811,001156811,13,OVAL,1,681,YELLOW,BUPROPION HYDROCHLORIDE 150 mg,BUPROPION HYDROCHLORIDE[BUPROPION],C42930,Amneal Pharmaceuticals of New York LLC,NLM,001156811.jpg,0115-6811,train
data\public\pillbox\images\007811439.jpg,Fluphenazine Hydrochloride FLUPHENAZINE HYDROCHLORIDE 10 mg,Fluphenazine Hydrochloride,,,0781-1439,007811439,11,ROUND,1,GG490,BROWN,FLUPHENAZINE HYDROCHLORIDE 10 mg,FLUPHENAZINE HYDROCHLORIDE[FLUPHENAZINE],C42931,Sandoz Inc,NLM,007811439.jpg,0781-1439,train
data\public\pillbox\images\no_product_image.jpg,bisacodyl 5 MG / docusate sodium 16.75 MG Oral Tablet,Dyrax-Q Tab,bisacodyl 5 MG / docusate sodium 16.75 MG Oral Tablet,2262704,58354-117,583540117,7,ROUND,2,,WHITE,BISACODYL 5 mg;DOCUSATE SODIUM 16.75 mg,BISACODYL[DEACETYLBISACODYL];DOCUSATE SODIUM[DOCUSATE],C42998,"Cho-A Pharm.Co.,Ltd.",PKG,no_product_image.jpg,58354-117,train
data\public\pillbox\images\50111033401.jpg,metronidazole 500 MG Oral Tablet,Metronidazole,metronidazole 500 MG Oral Tablet,311681,50111-334,501110334,16,OVAL,1,PLIVA;334,WHITE,METRONIDAZOLE 500 mg,METRONIDAZOLE[METRONIDAZOLE],C42998,"Teva Pharmaceuticals USA, Inc.",SPL,50111033401.jpg,50111-334,train
data\public\pillbox\images\51991-0817-01_NLMIMAGE10_AD41568A.jpg,24 HR propranolol hydrochloride 60 MG Extended Release Oral Capsule,propranolol hydrochloride,24 HR propranolol hydrochloride 60 MG Extended Release Oral Capsule,856535,51991-817,519910817,14,CAPSULE,1,60;RD203,WHITE,propranolol hydrochloride 60 mg,propranolol hydrochloride[propranolol],C42916,"Breckenridge Pharmaceutical, Inc.",NLM,51991-0817-01_NLMIMAGE10_AD41568A.jpg,51991-817,train
data\public\pillbox\images\00378-0069-01_1C078E4C.jpg,indapamide 1.25 MG Oral Tablet,Indapamide,indapamide 1.25 MG Oral Tablet,197815,0378-0069,003780069,7,ROUND,1,M;69,PINK,INDAPAMIDE 1.25 mg,INDAPAMIDE[INDAPAMIDE],C42931,Mylan Pharmaceuticals Inc.,NLM,00378-0069-01_1C078E4C.jpg,0378-0069,train
data\public\pillbox\images\007811381.jpg,Diclofenac Sodium DICLOFENAC SODIUM 100 mg,Diclofenac Sodium,,,0781-1381,007811381,9,ROUND,1,GG;904,PINK,DICLOFENAC SODIUM 100 mg,DICLOFENAC SODIUM[DICLOFENAC],C42930,Sandoz Inc,NLM,007811381.jpg,0781-1381,train
data\public\pillbox\images\246580292.jpg,Metformin hydrochloride 1000 MG Oral Tablet,Metformin Hydrochloride,Metformin hydrochloride 1000 MG Oral Tablet,861004,24658-292,246580292,20,ROUND,2,G;45;1000,WHITE,METFORMIN HYDROCHLORIDE 1000 mg,METFORMIN HYDROCHLORIDE[METFORMIN],C42998,"Blu Pharmaceuticals, LLC",NLM,246580292.jpg,24658-292,train
data\public\pillbox\images\005915440.jpg,doxycycline hyclate 100 MG Oral Capsule,Doxycycline Hyclate,doxycycline hyclate 100 MG Oral Capsule,1649988,0591-5440,005915440,22,CAPSULE,1,DAN;5440,BLUE,DOXYCYCLINE HYCLATE 100 mg,DOXYCYCLINE HYCLATE[DOXYCYCLINE ANHYDROUS],C25158,"Actavis Pharma, Inc.",NLM,005915440.jpg,0591-5440,train
data\public\pillbox\images\29300-0137-01_NLMIMAGE10_983A4C62.jpg,clonidine hydrochloride 0.3 MG Oral Tablet,clonidine hydrochloride,clonidine hydrochloride 0.3 MG Oral Tablet,884189,29300-137,293000137,10,OVAL,2,U;137,WHITE,CLONIDINE HYDROCHLORIDE 0.3 mg,CLONIDINE HYDROCHLORIDE[CLONIDINE],C42998,"Unichem Pharmaceuticals (USA), Inc.",NLM,29300-0137-01_NLMIMAGE10_983A4C62.jpg,29300-137,train
data\public\pillbox\images\006032435.jpg,Benztropine Mesylate BENZTROPINE MESYLATE 2 mg,Benztropine Mesylate,,,0603-2435,006032435,7,ROUND,2,2327;V,WHITE,BENZTROPINE MESYLATE 2 mg,BENZTROPINE MESYLATE[BENZTROPINE],C42998,Qualitest Pharmaceuticals,NLM,006032435.jpg,0603-2435,train
data\public\pillbox\images\00006-0227-61_A11DD0FE.jpg,raltegravir 400 MG Oral Tablet [Isentress],ISENTRESS,raltegravir 400 MG Oral Tablet [Isentress],744846,0006-0227,000060227,16,OVAL,1,227,PINK,RALTEGRAVIR POTASSIUM 400 mg,RALTEGRAVIR POTASSIUM[RALTEGRAVIR],C42931,Merck Sharp & Dohme Corp.,NLM,00006-0227-61_A11DD0FE.jpg,0006-0227,train
data\public\pillbox\images\620370597.jpg,24 HR diltiazem hydrochloride 120 MG Extended Release Oral Capsule [Cartia],Cartia,24 HR diltiazem hydrochloride 120 MG Extended Release Oral Capsule [Cartia],831226,62037-597,620370597,18,CAPSULE,1,Andrx;597;120;mg,WHITE;ORANGE,DILTIAZEM HYDROCHLORIDE 120 mg,DILTIAZEM HYDROCHLORIDE[DILTIAZEM],C42916,"Actavis Pharma, Inc.",NLM,620370597.jpg,62037-597,train
data\public\pillbox\images\00071-1017-68_5515AAAD.jpg,pregabalin 200 MG Oral Capsule [Lyrica],Lyrica,pregabalin 200 MG Oral Capsule [Lyrica],607022,0071-1017,000711017,19,CAPSULE,1,Pfizer;PGN;200,ORANGE,PREGABALIN 200 mg,PREGABALIN[PREGABALIN],C25158,Parke-Davis Div of Pfizer Inc,NLM,00071-1017-68_5515AAAD.jpg,0071-1017,val
data\public\pillbox\images\65862-0077-01_6408B265.jpg,ciprofloxacin 500 MG Oral Tablet,Ciprofloxacin,ciprofloxacin 500 MG Oral Tablet,309309,65862-077,658620077,18,CAPSULE,1,C;94,WHITE,CIPROFLOXACIN HYDROCHLORIDE 500 mg,CIPROFLOXACIN HYDROCHLORIDE[CIPROFLOXACIN],C42931,Aurobindo Pharma Limited,NLM,65862-0077-01_6408B265.jpg,65862-077,train
data\public\pillbox\images\634020193.jpg,eszopiclone 3 MG Oral Tablet [Lunesta],Lunesta,eszopiclone 3 MG Oral Tablet [Lunesta],540411,63402-193,634020193,6,ROUND,1,S193,BLUE,ESZOPICLONE 3 mg,ESZOPICLONE[ESZOPICLONE],C42897,Sunovion Pharmaceuticals Inc.,NLM,634020193.jpg,63402-193,train
data\public\pillbox\images\68462-0461-60_NLMIMAGE10_B73D5B9A.jpg,trospium chloride 20 MG Oral Tablet,Trospium Chloride,trospium chloride 20 MG Oral Tablet,857560,68462-461,684620461,6,ROUND,1,L;1,YELLOW,TROSPIUM CHLORIDE 20 mg,TROSPIUM CHLORIDE[TROSPIUM],C42931,"Glenmark Pharmaceuticals Inc., USA",NLM,68462-0461-60_NLMIMAGE10_B73D5B9A.jpg,68462-461,train
data\public\pillbox\images\003781903.jpg,midodrine hydrochloride 10 MG Oral Tablet,Midodrine Hydrochloride,midodrine hydrochloride 10 MG Oral Tablet,993462,0378-1903,003781903,10,ROUND,2,MH;3;M,WHITE,MIDODRINE HYDROCHLORIDE 10 mg,MIDODRINE HYDROCHLORIDE[MIDODRINE],C42998,Mylan Pharmaceuticals Inc.,NLM,003781903.jpg,0378-1903,val
data\public\pillbox\images\006032434.jpg,Benztropine Mesylate BENZTROPINE MESYLATE 1 mg,Benztropine Mesylate,,,0603-2434,006032434,10,OVAL,2,2326;V,WHITE,BENZTROPINE MESYLATE 1 mg,BENZTROPINE MESYLATE[BENZTROPINE],C42998,Qualitest Pharmaceuticals,NLM,006032434.jpg,0603-2434,train
data\public\pillbox\images\11528-0010-01_5905ACED.jpg,"estrogens, esterified (USP) 1.25 MG / methyltestosterone 2.5 MG Oral Tablet [Covaryx]",COVARYX,"estrogens, esterified (USP) 1.25 MG / methyltestosterone 2.5 MG Oral Tablet [Covaryx]",705919,11528-010,115280010,14,OVAL,1,PLAIN;C010,YELLOW,"ESTROGENS, ESTERIFIED 1.25 mg;METHYLTESTOSTERONE 2.5 mg","ESTROGENS, ESTERIFIED[ESTROGENS, ESTERIFIED];METHYLTESTOSTERONE[METHYLTESTOSTERONE]",C42897,"CENTRIX PHARMACEUTICAL, INC,",NLM,11528-0010-01_5905ACED.jpg,11528-010,train
data\public\pillbox\images\001431172.jpg,captopril 25 MG Oral Tablet,Captopril,captopril 25 MG Oral Tablet,317173,0143-1172,001431172,8,ROUND,4,WW;172,WHITE,CAPTOPRIL 25 mg,CAPTOPRIL[CAPTOPRIL],C42998,Hikma Pharmaceuticals USA Inc.,NLM,001431172.jpg,0143-1172,train
data\public\pillbox\images\005913762.jpg,amlodipine 10 MG / benazepril hydrochloride 40 MG Oral Capsule,Amlodipine and Benazepril Hydrochloride,amlodipine 10 MG / benazepril hydrochloride 40 MG Oral Capsule,898346,0591-3762,005913762,19,CAPSULE,1,AB;6,WHITE,AMLODIPINE BESYLATE 10 mg;BENAZEPRIL HYDROCHLORIDE 40 mg,AMLODIPINE BESYLATE[AMLODIPINE];BENAZEPRIL HYDROCHLORIDE[BENAZEPRILAT],C25158,"Actavis Pharma, Inc.",NLM,005913762.jpg,0591-3762,train
data\public\pillbox\images\000780489.jpg,amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge],Exforge,amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge],724879,0078-0489,000780489,14,OVAL,1,NVR;UIC,YELLOW,AMLODIPINE BESYLATE 10 mg;VALSARTAN 160 mg,AMLODIPINE BESYLATE[AMLODIPINE];VALSARTAN[VALSARTAN],C42931,Novartis Pharmaceuticals Corporation,NLM,000780489.jpg,0078-0489,train
data\public\pillbox\images\55111-0281-30_3C161E20.jpg,levofloxacin 750 MG Oral Tablet,Levofloxacin,levofloxacin 750 MG Oral Tablet,311296,55111-281,551110281,19,CAPSULE,1,RDY;281,YELLOW,Levofloxacin 750 mg,Levofloxacin[LEVOFLOXACIN ANHYDROUS],C42931,Dr. Reddy's Laboratories Limited,NLM,55111-0281-30_3C161E20.jpg,55111-281,train
data\public\pillbox\images\000693220.jpg,piroxicam 10 MG Oral Capsule [Feldene],Feldene,piroxicam 10 MG Oral Capsule [Feldene],105929,0069-3220,000693220,18,CAPSULE,1,FELDENE;PFIZER;322,RED;BLUE,PIROXICAM 10 mg,PIROXICAM[PIROXICAM],C25158,Pfizer Laboratories Div Pfizer Inc,NLM,000693220.jpg,0069-3220,train
data\public\pillbox\images\00093102506.jpg,nefazodone hydrochloride 200 MG Oral Tablet,Nefazodone Hydrochloride,nefazodone hydrochloride 200 MG Oral Tablet,1098670,0093-1025,000931025,16,OVAL,1,1025;93,YELLOW,NEFAZODONE HYDROCHLORIDE 200 mg,NEFAZODONE HYDROCHLORIDE[NEFAZODONE],C42998,"Teva Pharmaceuticals USA, Inc.",SPL,00093102506.jpg,0093-1025,train
data\public\pillbox\images\00555-0381-02_NLMIMAGE10_19420CF0.jpg,Meperidine Hydrochloride 50 MG Oral Tablet,Meperidine Hydrochloride,Meperidine Hydrochloride 50 MG Oral Tablet,861467,0555-0381,005550381,6,ROUND,2,381;b,WHITE,MEPERIDINE HYDROCHLORIDE 50 mg,MEPERIDINE HYDROCHLORIDE[MEPERIDINE],C42998,Barr Laboratories Inc.,NLM,00555-0381-02_NLMIMAGE10_19420CF0.jpg,0555-0381,train
data\public\pillbox\images\621750260.jpg,Osmotic 24 HR nifedipine 30 MG Extended Release Oral Tablet,Nifedipine,Osmotic 24 HR nifedipine 30 MG Extended Release Oral Tablet,1812011,62175-260,621750260,9,ROUND,1,KU;260,PINK,NIFEDIPINE 30 mg,NIFEDIPINE[NIFEDIPINE],C42930,Kremers Urban Pharmaceuticals Inc.,NLM,621750260.jpg,62175-260,train
data\public\pillbox\images\64980-0178-02_NLMIMAGE10_9F3F4FEA.jpg,chloroquine phosphate 500 MG Oral Tablet,Chloroquine Phosphate,chloroquine phosphate 500 MG Oral Tablet,1116758,64980-178,649800178,13,ROUND,1,CN500,WHITE,CHLOROQUINE PHOSPHATE 500 mg,CHLOROQUINE PHOSPHATE[CHLOROQUINE],C42998,"Rising Pharmaceuticals, Inc.",NLM,64980-0178-02_NLMIMAGE10_9F3F4FEA.jpg,64980-178,train
data\public\pillbox\images\00093529056.jpg,voriconazole 200 MG Oral Tablet,Voriconazole,voriconazole 200 MG Oral Tablet,349434,0093-5290,000935290,16,OVAL,1,TEVA;5290,WHITE,VORICONAZOLE 200 mg,VORICONAZOLE[VORICONAZOLE],C42931,"Teva Pharmaceuticals USA, Inc.",SPL,00093529056.jpg,0093-5290,train
data\public\pillbox\images\55111-0469-01_NLMIMAGE10_114508A8.jpg,24 HR metoprolol succinate 200 MG Extended Release Oral Tablet,Metoprolol succinate,24 HR metoprolol succinate 200 MG Extended Release Oral Tablet,866419,55111-469,551110469,20,OVAL,2,M;4,WHITE,METOPROLOL SUCCINATE 200 mg,METOPROLOL SUCCINATE[METOPROLOL],C42927,Dr. Reddy's Laboratories Limited,NLM,55111-0469-01_NLMIMAGE10_114508A8.jpg,55111-469,train
data\public\pillbox\images\no_product_image.jpg,CALC SULPH CALCIUM SULFATE ANHYDROUS 30 [hp_X],CALC SULPH,,,0360-0105,003600105,5,ROUND,,,WHITE,CALCIUM SULFATE ANHYDROUS 30 [hp_X],CALCIUM SULFATE ANHYDROUS[CALCIUM CATION],C42998,STANDARD HOMEOPATHIC COMPANY,PKG,no_product_image.jpg,0360-0105,train
data\public\pillbox\images\no_product_image.jpg,venlafaxine 100 MG Oral Tablet,Venlafaxine Hydrochloride,venlafaxine 100 MG Oral Tablet,313580,50771-005,507710005,10,ROUND,2,Y05,PINK,VENLAFAXINE HYDROCHLORIDE 100 mg,VENLAFAXINE HYDROCHLORIDE[VENLAFAXINE],C42998,"Yaopharma Co., Ltd.",PKG,no_product_image.jpg,50771-005,train
data\public\pillbox\images\000930350.jpg,acetaminophen 300 MG / codeine phosphate 60 MG Oral Tablet,Acetaminophen and Codeine Phosphate,acetaminophen 300 MG / codeine phosphate 60 MG Oral Tablet,993890,0093-0350,000930350,10,ROUND,1,4;93;350,WHITE,ACETAMINOPHEN 300 mg;CODEINE PHOSPHATE 60 mg,ACETAMINOPHEN[ACETAMINOPHEN];CODEINE PHOSPHATE[CODEINE ANHYDROUS],C42998,"Teva Pharmaceuticals USA, Inc.",NLM,000930350.jpg,0093-0350,val
data\public\pillbox\images\000876671.jpg,didanosine 125 MG Delayed Release Oral Capsule [Videx],VIDEX EC,didanosine 125 MG Delayed Release Oral Capsule [Videx],284498,0087-6671,000876671,16,CAPSULE,1,BMS;125;mg;6671,WHITE,didanosine 125 mg,didanosine[didanosine],C42902,Bristol-Myers Squibb Company,NLM,000876671.jpg,0087-6671,train
data\public\pillbox\images\00093-7364-98_28089404.jpg,losartan potassium 25 MG Oral Tablet,Losartan Potassium,losartan potassium 25 MG Oral Tablet,979485,0093-7364,000937364,9,OVAL,1,93;7364,GREEN,LOSARTAN POTASSIUM 25 mg,LOSARTAN POTASSIUM[LOSARTAN],C42931,"Teva Pharmaceuticals USA, Inc.",NLM,00093-7364-98_28089404.jpg,0093-7364,val
data\public\pillbox\images\605053097.jpg,risedronate sodium 150 MG Oral Tablet,Risedronate Sodium,risedronate sodium 150 MG Oral Tablet,905028,60505-3097,605053097,9,ROUND,1,APO;RIS;150,BLUE,RISEDRONATE SODIUM 150 mg,RISEDRONATE SODIUM[RISEDRONIC ACID],C42931,Apotex Corp.,NLM,605053097.jpg,60505-3097,train
data\public\pillbox\images\00173-0777-02_B5195ABA.jpg,lamotrigine 200 MG Disintegrating Oral Tablet [Lamictal],LAMICTAL,lamotrigine 200 MG Disintegrating Oral Tablet [Lamictal],849050,0173-0777,001730777,14,ROUND,1,LAMICTAL;200,WHITE,LAMOTRIGINE 200 mg,LAMOTRIGINE[LAMOTRIGINE],C42999,GlaxoSmithKline LLC,NLM,00173-0777-02_B5195ABA.jpg,0173-0777,val
data\public\pillbox\images\002282899.jpg,Glipizide GLIPIZIDE 5 mg,Glipizide,,,0228-2899,002282899,6,ROUND,1,WPI;844,ORANGE,GLIPIZIDE 5 mg,GLIPIZIDE[GLIPIZIDE],C42927,Actavis Elizabeth LLC,NLM,002282899.jpg,0228-2899,val
data\public\pillbox\images\605053111.jpg,olanzapine 5 MG Oral Tablet,Olanzapine,olanzapine 5 MG Oral Tablet,312078,60505-3111,605053111,8,ROUND,1,APO;OLA;5,WHITE,Olanzapine 5 mg,Olanzapine[Olanzapine],C42931,Apotex Corp.,NLM,605053111.jpg,60505-3111,train
data\public\pillbox\images\498840043.jpg,Cyproheptadine Hydrochloride CYPROHEPTADINE HYDROCHLORIDE 4 mg,Cyproheptadine Hydrochloride,,,49884-043,498840043,7,ROUND,2,Par;043,WHITE,CYPROHEPTADINE HYDROCHLORIDE 4 mg,CYPROHEPTADINE HYDROCHLORIDE[CYPROHEPTADINE],C42998,Par Pharmaceutical Inc.,NLM,498840043.jpg,49884-043,val
data\public\pillbox\images\605050133.jpg,cyclosporine 25 MG Oral Capsule,Cyclosporine,cyclosporine 25 MG Oral Capsule,197553,60505-0133,605050133,14,CAPSULE,1,APO;133;25,BROWN,CYCLOSPORINE 25 mg,CYCLOSPORINE[CYCLOSPORINE],C42936,Apotex Corp.,NLM,605050133.jpg,60505-0133,train
data\public\pillbox\images\005913194.jpg,Afeditab NIFEDIPINE 60 mg,Afeditab,,,0591-3194,005913194,11,ROUND,1,ELN;60,BROWN,NIFEDIPINE 60 mg,NIFEDIPINE[NIFEDIPINE],C42930,"Actavis Pharma, Inc.",NLM,005913194.jpg,0591-3194,train
data\public\pillbox\images\684620162.jpg,carvedilol 3.125 MG Oral Tablet,Carvedilol,carvedilol 3.125 MG Oral Tablet,686924,68462-162,684620162,5,ROUND,1,G,WHITE,CARVEDILOL 3.125 mg,CARVEDILOL[CARVEDILOL],C42931,"Glenmark Pharmaceuticals Inc., USA",NLM,684620162.jpg,68462-162,train
