normalized_name,drug_name,ingredient_name,atc_code,atc_group_code,atc_group_name,atc_class_label,drug_class
chromium 51cr edetate,chromium (51Cr) edetate,chromium (51Cr) edetate,V09CX04,V09CX,Other renal system diagnostic radiopharmaceuticals,Other renal system diagnostic radiopharmaceuticals,unknown
chymopapain,chymopapain,chymopapain,M09AB01,M09AB,Enzymes,Enzymes,unknown
chymotrypsin,chymotrypsin,chymotrypsin,B06AA04,B06AA,Enzymes,Enzymes,unknown
cibenzoline,cibenzoline,cibenzoline,C01BG07,C01BG,"Other antiarrhythmics, class I and III","Other antiarrhythmics, class I and III",unknown
ciclesonide,ciclesonide,ciclesonide,R01AD13,R01AD,Corticosteroids,Corticosteroids,unknown
cicletanine,cicletanine,cicletanine,C03BX03,C03BX,Other low-ceiling diuretics,Other low-ceiling diuretics,unknown
ciclobendazole,ciclobendazole,ciclobendazole,P02CA04,P02CA,Benzimidazole derivatives,Benzimidazole derivatives,unknown
ciclonicate,ciclonicate,ciclonicate,C04AC07,C04AC,Nicotinic acid and derivatives,Nicotinic acid and derivatives,unknown
ciclopirox,ciclopirox,ciclopirox,D01AE14,D01AE,Other antifungals for topical use,Other antifungals for topical use,unknown
ciclosporin,ciclosporin,ciclosporin,L04AD01,L04AD,Calcineurin inhibitors,Calcineurin inhibitors,unknown
cidofovir,cidofovir,cidofovir,J05AB12,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,unknown
cilansetron,cilansetron,cilansetron,A03AE03,A03AE,Serotonin receptor antagonists,Serotonin receptor antagonists,unknown
cilazapril,cilazapril,cilazapril,C09AA08,C09AA,"ACE inhibitors, plain","ACE inhibitors, plain",ace_inhibitor
cilnidipine,cilnidipine,cilnidipine,C08CA14,C08CA,Dihydropyridine derivatives,Dihydropyridine derivatives,unknown
cilostazol,cilostazol,cilostazol,B01AC23,B01AC,Platelet aggregation inhibitors excl. heparin,Platelet aggregation inhibitors excl. heparin,antiplatelet
cimetidine,cimetidine,cimetidine,A02BA01,A02BA,H2-receptor antagonists,H2-receptor antagonists,unknown
cimetropium bromide,cimetropium bromide,cimetropium bromide,A03BB05,A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",unknown
cimicifugae rhizoma,Cimicifugae rhizoma,Cimicifugae rhizoma,G02CX04,G02CX,Other gynecologicals,Other gynecologicals,unknown
cinacalcet,cinacalcet,cinacalcet,H05BX01,H05BX,Other anti-parathyroid agents,Other anti-parathyroid agents,unknown
cinchocaine,cinchocaine,cinchocaine,C05AD04,C05AD,Local anesthetics,Local anesthetics,unknown
cinchophen,cinchophen,cinchophen,M04AC02,M04AC,Preparations with no effect on uric acid metabolism,Preparations with no effect on uric acid metabolism,unknown
cineole,cineole,cineole,R05CA13,R05CA,Expectorants,Expectorants,unknown
cinepazet,cinepazet,cinepazet,C01DX14,C01DX,Other vasodilators used in cardiac diseases,Other vasodilators used in cardiac diseases,unknown
cinepazide,cinepazide,cinepazide,C04AX27,C04AX,Other peripheral vasodilators,Other peripheral vasodilators,unknown
cinitapride,cinitapride,cinitapride,A03FA08,A03FA,Propulsives,Propulsives,unknown
cinnarizine,cinnarizine,cinnarizine,N07CA02,N07CA,Antivertigo preparations,Antivertigo preparations,unknown
cinolazepam,cinolazepam,cinolazepam,N05CD13,N05CD,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
cinoxacin,cinoxacin,cinoxacin,J01MB06,J01MB,Other quinolones,Other quinolones,unknown
ciprofibrate,ciprofibrate,ciprofibrate,C10AB08,C10AB,Fibrates,Fibrates,unknown
ciprofloxacin,ciprofloxacin,ciprofloxacin,J01MA02,J01MA,Fluoroquinolones,Fluoroquinolones,fluoroquinolone
cisapride,cisapride,cisapride,A03FA02,A03FA,Propulsives,Propulsives,unknown
cisatracurium,cisatracurium,cisatracurium,M03AC11,M03AC,Other quaternary ammonium compounds,Other quaternary ammonium compounds,unknown
cisplatin,cisplatin,cisplatin,L01XA01,L01XA,Platinum compounds,Platinum compounds,unknown
citalopram,citalopram,citalopram,N06AB04,N06AB,Selective serotonin reuptake inhibitors,Selective serotonin reuptake inhibitors,unknown
citicoline,citicoline,citicoline,N06BX06,N06BX,Other psychostimulants and nootropics,Other psychostimulants and nootropics,unknown
citiolone,citiolone,citiolone,A05BA04,A05BA,Liver therapy,Liver therapy,unknown
citric acid,citric acid,citric acid,A09AB04,A09AB,Acid preparations,Acid preparations,unknown
cladribine,cladribine,cladribine,L04AA40,L04AA,Selective immunosuppressants,Selective immunosuppressants,unknown
clarithromycin,clarithromycin,clarithromycin,J01FA09,J01FA,Macrolides,Macrolides,macrolide
clebopride,clebopride,clebopride,A03FA06,A03FA,Propulsives,Propulsives,unknown
clefamide,clefamide,clefamide,P01AC02,P01AC,Dichloroacetamide derivatives,Dichloroacetamide derivatives,unknown
clemastine,clemastine,clemastine,R06AA04,R06AA,Aminoalkyl ethers,Aminoalkyl ethers,antihistamine
clenbuterol,clenbuterol,clenbuterol,R03CC13,R03CC,Selective beta-2-adrenoreceptor agonists,Selective beta-2-adrenoreceptor agonists,unknown
clevidipine,clevidipine,clevidipine,C08CA16,C08CA,Dihydropyridine derivatives,Dihydropyridine derivatives,unknown
clevudine,clevudine,clevudine,J05AF12,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Nucleoside and nucleotide reverse transcriptase inhibitors,unknown
clindamycin,clindamycin,clindamycin,J01FF01,J01FF,Lincosamides,Lincosamides,unknown
clioquinol,clioquinol,clioquinol,D08AH30,D08AH,Quinoline derivatives,Quinoline derivatives,unknown
clobazam,clobazam,clobazam,N05BA09,N05BA,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
clobenzorex,clobenzorex,clobenzorex,A08AA08,A08AA,Centrally acting antiobesity products,Centrally acting antiobesity products,unknown
clobetasol,clobetasol,clobetasol,D07AD01,D07AD,"Corticosteroids, very potent (group IV)","Corticosteroids, very potent (group IV)",unknown
clobetasone,clobetasone,clobetasone,D07AB01,D07AB,"Corticosteroids, moderately potent (group II)","Corticosteroids, moderately potent (group II)",unknown
clobutinol,clobutinol,clobutinol,R05DB03,R05DB,Other cough suppressants,Other cough suppressants,unknown
clocortolone,clocortolone,clocortolone,D07AB21,D07AB,"Corticosteroids, moderately potent (group II)","Corticosteroids, moderately potent (group II)",unknown
clodantoin,clodantoin,clodantoin,G01AX01,G01AX,Other antiinfectives and antiseptics,Other antiinfectives and antiseptics,unknown
clodronic acid,clodronic acid,clodronic acid,M05BA02,M05BA,Bisphosphonates,Bisphosphonates,unknown
clofarabine,clofarabine,clofarabine,L01BB06,L01BB,Purine analogues,Purine analogues,unknown
clofazimine,clofazimine,clofazimine,J04BA01,J04BA,Drugs for treatment of lepra,Drugs for treatment of lepra,unknown
clofedanol,clofedanol,clofedanol,R05DB10,R05DB,Other cough suppressants,Other cough suppressants,unknown
clofenamide,clofenamide,clofenamide,C03BA07,C03BA,"Sulfonamides, plain","Sulfonamides, plain",unknown
clofenotane,clofenotane,clofenotane,P03AB01,P03AB,Chlorine containing products,Chlorine containing products,unknown
clofezone,clofezone,clofezone,M01AA05,M01AA,Butylpyrazolidines,Butylpyrazolidines,nsaid
clofibrate,clofibrate,clofibrate,C10AB01,C10AB,Fibrates,Fibrates,unknown
clofibride,clofibride,clofibride,C10AB10,C10AB,Fibrates,Fibrates,unknown
clofoctol,clofoctol,clofoctol,J01XX03,J01XX,Other antibacterials,Other antibacterials,unknown
clomethiazole,clomethiazole,clomethiazole,N05CM02,N05CM,Other hypnotics and sedatives,Other hypnotics and sedatives,unknown
clometocillin,clometocillin,clometocillin,J01CE07,J01CE,Beta-lactamase sensitive penicillins,Beta-lactamase sensitive penicillins,penicillin
clomifene,clomifene,clomifene,G03GB02,G03GB,"Ovulation stimulants, synthetic","Ovulation stimulants, synthetic",unknown
clomipramine,clomipramine,clomipramine,N06AA04,N06AA,Non-selective monoamine reuptake inhibitors,Non-selective monoamine reuptake inhibitors,unknown
clomocycline,clomocycline,clomocycline,J01AA11,J01AA,Tetracyclines,Tetracyclines,tetracycline
clonazepam,clonazepam,clonazepam,N03AE01,N03AE,Benzodiazepine derivatives,Benzodiazepine derivatives,unknown
clonidine,clonidine,clonidine,C02AC01,C02AC,Imidazoline receptor agonists,Imidazoline receptor agonists,unknown
clopamide,clopamide,clopamide,C03BA03,C03BA,"Sulfonamides, plain","Sulfonamides, plain",unknown
clopenthixol,clopenthixol,clopenthixol,N05AF02,N05AF,Thioxanthene derivatives,Thioxanthene derivatives,unknown
cloperastine,cloperastine,cloperastine,R05DB21,R05DB,Other cough suppressants,Other cough suppressants,unknown
clopidogrel,clopidogrel,clopidogrel,B01AC04,B01AC,Platelet aggregation inhibitors excl. heparin,Platelet aggregation inhibitors excl. heparin,antiplatelet
cloprednol,cloprednol,cloprednol,H02AB14,H02AB,Glucocorticoids,Glucocorticoids,unknown
cloranolol,cloranolol,cloranolol,C07AA27,C07AA,"Beta blocking agents, non-selective","Beta blocking agents, non-selective",beta_blocker
clorexolone,clorexolone,clorexolone,C03BA12,C03BA,"Sulfonamides, plain","Sulfonamides, plain",unknown
cloricromen,cloricromen,cloricromen,B01AC02,B01AC,Platelet aggregation inhibitors excl. heparin,Platelet aggregation inhibitors excl. heparin,antiplatelet
cloridarol,cloridarol,cloridarol,C01DX15,C01DX,Other vasodilators used in cardiac diseases,Other vasodilators used in cardiac diseases,unknown
clorindione,clorindione,clorindione,B01AA09,B01AA,Vitamin K antagonists,Vitamin K antagonists,anticoagulant
clotiapine,clotiapine,clotiapine,N05AH06,N05AH,"Diazepines, oxazepines, thiazepines and oxepines","Diazepines, oxazepines, thiazepines and oxepines",unknown
clotiazepam,clotiazepam,clotiazepam,N05BA21,N05BA,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
clotrimazole,clotrimazole,clotrimazole,A01AB18,A01AB,Antiinfectives and antiseptics for local oral treatment,Antiinfectives and antiseptics for local oral treatment,unknown
cloxacillin,cloxacillin,cloxacillin,J01CF02,J01CF,Beta-lactamase resistant penicillins,Beta-lactamase resistant penicillins,penicillin
cloxazolam,cloxazolam,cloxazolam,N05BA22,N05BA,Benzodiazepine derivatives,Benzodiazepine derivatives,benzodiazepine
clozapine,clozapine,clozapine,N05AH02,N05AH,"Diazepines, oxazepines, thiazepines and oxepines","Diazepines, oxazepines, thiazepines and oxepines",unknown
coagulation factor ix,coagulation factor IX,coagulation factor IX,B02BD04,B02BD,Blood coagulation factors,Blood coagulation factors,unknown
coagulation factor vii,coagulation factor VII,coagulation factor VII,B02BD05,B02BD,Blood coagulation factors,Blood coagulation factors,unknown
coagulation factor viia,coagulation factor VIIa,coagulation factor VIIa,B02BD08,B02BD,Blood coagulation factors,Blood coagulation factors,unknown
coagulation factor viii,coagulation factor VIII,coagulation factor VIII,B02BD02,B02BD,Blood coagulation factors,Blood coagulation factors,unknown
coagulation factor x,coagulation factor X,coagulation factor X,B02BD13,B02BD,Blood coagulation factors,Blood coagulation factors,unknown
coagulation factor xiii,coagulation factor XIII,coagulation factor XIII,B02BD07,B02BD,Blood coagulation factors,Blood coagulation factors,unknown
cobalt 57co cyanocobalamine,cobalt (57Co) cyanocobalamine,cobalt (57Co) cyanocobalamine,V09XX01,V09XX,Various diagnostic radiopharmaceuticals,Various diagnostic radiopharmaceuticals,unknown
cobalt 58co cyanocobalamine,cobalt (58Co) cyanocobalamine,cobalt (58Co) cyanocobalamine,V09XX02,V09XX,Various diagnostic radiopharmaceuticals,Various diagnostic radiopharmaceuticals,unknown
cobamamide,cobamamide,cobamamide,B03BA04,B03BA,Vitamin B12 (cyanocobalamin and analogues),Vitamin B12 (cyanocobalamin and analogues),unknown
cobicistat,cobicistat,cobicistat,V03AX03,V03AX,Other therapeutic products,Other therapeutic products,unknown
cobimetinib,cobimetinib,cobimetinib,L01EE02,L01EE,Mitogen-activated protein kinase (MEK) inhibitors,Mitogen-activated protein kinase (MEK) inhibitors,unknown
cocaine,cocaine,cocaine,N01BC01,N01BC,Esters of benzoic acid,Esters of benzoic acid,unknown
codeine,codeine,codeine,R05DA04,R05DA,Opium alkaloids and derivatives,Opium alkaloids and derivatives,unknown
colchicine,colchicine,colchicine,M04AC01,M04AC,Preparations with no effect on uric acid metabolism,Preparations with no effect on uric acid metabolism,unknown
colecalciferol,colecalciferol,colecalciferol,A11CC05,A11CC,Vitamin D and analogues,Vitamin D and analogues,unknown
colesevelam,colesevelam,colesevelam,C10AC04,C10AC,Bile acid sequestrants,Bile acid sequestrants,unknown
colestilan,colestilan,colestilan,V03AE06,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Drugs for treatment of hyperkalemia and hyperphosphatemia,unknown
colestipol,colestipol,colestipol,C10AC02,C10AC,Bile acid sequestrants,Bile acid sequestrants,unknown
colestyramine,colestyramine,colestyramine,C10AC01,C10AC,Bile acid sequestrants,Bile acid sequestrants,unknown
colextran,colextran,colextran,C10AC03,C10AC,Bile acid sequestrants,Bile acid sequestrants,unknown
colfosceril palmitate,colfosceril palmitate,colfosceril palmitate,R07AA01,R07AA,Lung surfactants,Lung surfactants,unknown
colistin,colistin,colistin,A07AA10,A07AA,Antibiotics,Antibiotics,unknown
collagen,collagen,collagen,B02BC07,B02BC,Local hemostatics,Local hemostatics,unknown
collagenase,collagenase,collagenase,D03BA02,D03BA,Proteolytic enzymes,Proteolytic enzymes,unknown
collagenase clostridium histolyticum,collagenase clostridium histolyticum,collagenase clostridium histolyticum,M09AB02,M09AB,Enzymes,Enzymes,unknown
conestat alfa,conestat alfa,conestat alfa,B06AC04,B06AC,Drugs used in hereditary angioedema,Drugs used in hereditary angioedema,unknown
conivaptan,conivaptan,conivaptan,C03XA02,C03XA,Vasopressin antagonists,Vasopressin antagonists,unknown
conjugated estrogens,conjugated estrogens,conjugated estrogens,G03CA57,G03CA,"Natural and semisynthetic estrogens, plain","Natural and semisynthetic estrogens, plain",unknown
copanlisib,copanlisib,copanlisib,L01EM02,L01EM,Phosphatidylinositol-3-kinase (Pi3K) inhibitors,Phosphatidylinositol-3-kinase (Pi3K) inhibitors,unknown
copper oleinate,copper oleinate,copper oleinate,P03AX02,P03AX,"Other ectoparasiticides, incl. scabicides","Other ectoparasiticides, incl. scabicides",unknown
copper sulfate,copper sulfate,copper sulfate,V03AB20,V03AB,Antidotes,Antidotes,unknown
copper usnate,copper usnate,copper usnate,G01AX15,G01AX,Other antiinfectives and antiseptics,Other antiinfectives and antiseptics,unknown
corifollitropin alfa,corifollitropin alfa,corifollitropin alfa,G03GA09,G03GA,Gonadotropins,Gonadotropins,unknown
corticorelin,corticorelin,corticorelin,V04CD04,V04CD,Tests for pituitary function,Tests for pituitary function,unknown
corticotropin,corticotropin,corticotropin,H01AA01,H01AA,ACTH,ACTH,unknown
cortisone,cortisone,cortisone,H02AB10,H02AB,Glucocorticoids,Glucocorticoids,unknown
cortivazol,cortivazol,cortivazol,H02AB17,H02AB,Glucocorticoids,Glucocorticoids,unknown
crataegus glycosides,crataegus glycosides,crataegus glycosides,C01EB04,C01EB,Other cardiac preparations,Other cardiac preparations,unknown
creatinolfosfate,creatinolfosfate,creatinolfosfate,C01EB05,C01EB,Other cardiac preparations,Other cardiac preparations,unknown
creosote,creosote,creosote,R05CA08,R05CA,Expectorants,Expectorants,unknown
cridanimod,cridanimod,cridanimod,L03AX18,L03AX,Other immunostimulants,Other immunostimulants,unknown
crilanomer,crilanomer,crilanomer,D03AX09,D03AX,Other cicatrizants,Other cicatrizants,unknown
crisaborole,crisaborole,crisaborole,D11AH06,D11AH,"Agents for dermatitis, excluding corticosteroids","Agents for dermatitis, excluding corticosteroids",unknown
crizanlizumab,crizanlizumab,crizanlizumab,B06AX01,B06AX,Other hematological agents,Other hematological agents,unknown
crizotinib,crizotinib,crizotinib,L01ED01,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors,Anaplastic lymphoma kinase (ALK) inhibitors,unknown
crofelemer,crofelemer,crofelemer,A07XA06,A07XA,Other antidiarrheals,Other antidiarrheals,unknown
cromoglicic acid,cromoglicic acid,cromoglicic acid,A07EB01,A07EB,"Antiallergic agents, excl. corticosteroids","Antiallergic agents, excl. corticosteroids",unknown
crospovidone,crospovidone,crospovidone,A07BC03,A07BC,Other intestinal adsorbents,Other intestinal adsorbents,unknown
cyamemazine,cyamemazine,cyamemazine,N05AA06,N05AA,Phenothiazines with aliphatic side-chain,Phenothiazines with aliphatic side-chain,unknown
cyanocobalamin,cyanocobalamin,cyanocobalamin,B03BA01,B03BA,Vitamin B12 (cyanocobalamin and analogues),Vitamin B12 (cyanocobalamin and analogues),unknown
cyanocobalamin tannin complex,cyanocobalamin tannin complex,cyanocobalamin tannin complex,B03BA02,B03BA,Vitamin B12 (cyanocobalamin and analogues),Vitamin B12 (cyanocobalamin and analogues),unknown
cyclandelate,cyclandelate,cyclandelate,C04AX01,C04AX,Other peripheral vasodilators,Other peripheral vasodilators,unknown
cyclizine,cyclizine,cyclizine,R06AE03,R06AE,Piperazine derivatives,Piperazine derivatives,antihistamine
cyclobarbital,cyclobarbital,cyclobarbital,N05CA10,N05CA,"Barbiturates, plain","Barbiturates, plain",unknown
cyclobenzaprine,cyclobenzaprine,cyclobenzaprine,M03BX08,M03BX,Other centrally acting agents,Other centrally acting agents,unknown
cyclobutyrol,cyclobutyrol,cyclobutyrol,A05AX03,A05AX,Other drugs for bile therapy,Other drugs for bile therapy,unknown
cyclofenil,cyclofenil,cyclofenil,G03GB01,G03GB,"Ovulation stimulants, synthetic","Ovulation stimulants, synthetic",unknown
cycloguanil embonate,cycloguanil embonate,cycloguanil embonate,P01BB02,P01BB,Biguanides,Biguanides,unknown
cyclopentamine,cyclopentamine,cyclopentamine,R01AA02,R01AA,"Sympathomimetics, plain","Sympathomimetics, plain",unknown
cyclopenthiazide,cyclopenthiazide,cyclopenthiazide,C03AA07,C03AA,"Thiazides, plain","Thiazides, plain",unknown
cyclopentolate,cyclopentolate,cyclopentolate,S01FA04,S01FA,Anticholinergics,Anticholinergics,unknown
cyclophosphamide,cyclophosphamide,cyclophosphamide,L01AA01,L01AA,Nitrogen mustard analogues,Nitrogen mustard analogues,unknown
cycloserine,cycloserine,cycloserine,J04AB01,J04AB,Antibiotics,Antibiotics,unknown
cyclothiazide,cyclothiazide,cyclothiazide,C03AA09,C03AA,"Thiazides, plain","Thiazides, plain",unknown
cyfluthrin,cyfluthrin,cyfluthrin,P03BA01,P03BA,Pyrethrines,Pyrethrines,unknown
cymarin,cymarin,cymarin,C01AC03,C01AC,Strophanthus glycosides,Strophanthus glycosides,unknown
cypermethrin,cypermethrin,cypermethrin,P03BA02,P03BA,Pyrethrines,Pyrethrines,unknown
cyproheptadine,cyproheptadine,cyproheptadine,R06AX02,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
cyproterone,cyproterone,cyproterone,G03HA01,G03HA,"Antiandrogens, plain","Antiandrogens, plain",unknown
cytarabine,cytarabine,cytarabine,L01BC01,L01BC,Pyrimidine analogues,Pyrimidine analogues,unknown
cytisine,cytisine,cytisine,N07BA04,N07BA,Drugs used in nicotine dependence,Drugs used in nicotine dependence,unknown
cytomegalovirus immunoglobulin,cytomegalovirus immunoglobulin,cytomegalovirus immunoglobulin,J06BB09,J06BB,Specific immunoglobulins,Specific immunoglobulins,unknown
dabigatran etexilate,dabigatran etexilate,dabigatran etexilate,B01AE07,B01AE,Direct thrombin inhibitors,Direct thrombin inhibitors,anticoagulant
dabrafenib,dabrafenib,dabrafenib,L01EC02,L01EC,B-Raf serine-threonine kinase (BRAF) inhibitors,B-Raf serine-threonine kinase (BRAF) inhibitors,unknown
dacarbazine,dacarbazine,dacarbazine,L01AX04,L01AX,Other alkylating agents,Other alkylating agents,unknown
daclatasvir,daclatasvir,daclatasvir,J05AP07,J05AP,Antivirals for treatment of HCV infections,Antivirals for treatment of HCV infections,unknown
daclizumab,daclizumab,daclizumab,L04AC01,L04AC,Interleukin inhibitors,Interleukin inhibitors,unknown
dacomitinib,dacomitinib,dacomitinib,L01EB07,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,unknown
dactinomycin,dactinomycin,dactinomycin,L01DA01,L01DA,Actinomycines,Actinomycines,unknown
dalbavancin,dalbavancin,dalbavancin,J01XA04,J01XA,Glycopeptide antibacterials,Glycopeptide antibacterials,unknown
dalteparin,dalteparin,dalteparin,B01AB04,B01AB,Heparin group,Heparin group,unknown
danaparoid,danaparoid,danaparoid,B01AB09,B01AB,Heparin group,Heparin group,unknown
danazol,danazol,danazol,G03XA01,G03XA,Antigonadotropins and similar agents,Antigonadotropins and similar agents,unknown
dantrolene,dantrolene,dantrolene,M03CA01,M03CA,Dantrolene and derivatives,Dantrolene and derivatives,unknown
dantron,dantron,dantron,A06AB03,A06AB,Contact laxatives,Contact laxatives,unknown
dapagliflozin,dapagliflozin,dapagliflozin,A10BK01,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,unknown
dapiprazole,dapiprazole,dapiprazole,S01EX02,S01EX,Other antiglaucoma preparations,Other antiglaucoma preparations,unknown
dapivirine,dapivirine,dapivirine,G01AX17,G01AX,Other antiinfectives and antiseptics,Other antiinfectives and antiseptics,unknown
dapoxetine,dapoxetine,dapoxetine,G04BX14,G04BX,Other urologicals,Other urologicals,unknown
dapsone,dapsone,dapsone,J04BA02,J04BA,Drugs for treatment of lepra,Drugs for treatment of lepra,unknown
daptomycin,daptomycin,daptomycin,J01XX09,J01XX,Other antibacterials,Other antibacterials,unknown
daratumumab,daratumumab,daratumumab,L01XC24,L01XC,Monoclonal antibodies,Monoclonal antibodies,unknown
darbepoetin alfa,darbepoetin alfa,darbepoetin alfa,B03XA02,B03XA,Other antianemic preparations,Other antianemic preparations,unknown
darifenacin,darifenacin,darifenacin,G04BD10,G04BD,Drugs for urinary frequency and incontinence,Drugs for urinary frequency and incontinence,unknown
darolutamide,darolutamide,darolutamide,L02BB06,L02BB,Anti-androgens,Anti-androgens,unknown
darunavir,darunavir,darunavir,J05AE10,J05AE,Protease inhibitors,Protease inhibitors,unknown
darvadstrocel,darvadstrocel,darvadstrocel,L04AX08,L04AX,Other immunosuppressants,Other immunosuppressants,unknown
dasabuvir,dasabuvir,dasabuvir,J05AP09,J05AP,Antivirals for treatment of HCV infections,Antivirals for treatment of HCV infections,unknown
dasatinib,dasatinib,dasatinib,L01EA02,L01EA,BCR-ABL tyrosine kinase inhibitors,BCR-ABL tyrosine kinase inhibitors,unknown
dasiprotimut-t,dasiprotimut-T,dasiprotimut-T,L03AX19,L03AX,Other immunostimulants,Other immunostimulants,unknown
daunorubicin,daunorubicin,daunorubicin,L01DB02,L01DB,Anthracyclines and related substances,Anthracyclines and related substances,unknown
deanol,deanol,deanol,N06BX04,N06BX,Other psychostimulants and nootropics,Other psychostimulants and nootropics,unknown
debrisoquine,debrisoquine,debrisoquine,C02CC04,C02CC,Guanidine derivatives,Guanidine derivatives,unknown
decamethoxine,decamethoxine,decamethoxine,D08AJ10,D08AJ,Quaternary ammonium compounds,Quaternary ammonium compounds,unknown
decamethrin,decamethrin,decamethrin,P03BA03,P03BA,Pyrethrines,Pyrethrines,unknown
decitabine,decitabine,decitabine,L01BC08,L01BC,Pyrimidine analogues,Pyrimidine analogues,unknown
deferasirox,deferasirox,deferasirox,V03AC03,V03AC,Iron chelating agents,Iron chelating agents,unknown
deferiprone,deferiprone,deferiprone,V03AC02,V03AC,Iron chelating agents,Iron chelating agents,unknown
deferoxamine,deferoxamine,deferoxamine,V03AC01,V03AC,Iron chelating agents,Iron chelating agents,unknown
defibrotide,defibrotide,defibrotide,B01AX01,B01AX,Other antithrombotic agents,Other antithrombotic agents,unknown
deflazacort,deflazacort,deflazacort,H02AB13,H02AB,Glucocorticoids,Glucocorticoids,unknown
degarelix,degarelix,degarelix,L02BX02,L02BX,Other hormone antagonists and related agents,Other hormone antagonists and related agents,unknown
dehydroemetine,dehydroemetine,dehydroemetine,P01AX09,P01AX,Other agents against amoebiasis and other protozoal diseases,Other agents against amoebiasis and other protozoal diseases,unknown
delafloxacin,delafloxacin,delafloxacin,J01MA23,J01MA,Fluoroquinolones,Fluoroquinolones,fluoroquinolone
delamanid,delamanid,delamanid,J04AK06,J04AK,Other drugs for treatment of tuberculosis,Other drugs for treatment of tuberculosis,unknown
delapril,delapril,delapril,C09AA12,C09AA,"ACE inhibitors, plain","ACE inhibitors, plain",ace_inhibitor
delavirdine,delavirdine,delavirdine,J05AG02,J05AG,Non-nucleoside reverse transcriptase inhibitors,Non-nucleoside reverse transcriptase inhibitors,unknown
demecarium,demecarium,demecarium,S01EB04,S01EB,Parasympathomimetics,Parasympathomimetics,unknown
demeclocycline,demeclocycline,demeclocycline,J01AA01,J01AA,Tetracyclines,Tetracyclines,tetracycline
demecolcine,demecolcine,demecolcine,L01CC01,L01CC,Colchicine derivatives,Colchicine derivatives,unknown
demegestone,demegestone,demegestone,G03DB05,G03DB,Pregnadien derivatives,Pregnadien derivatives,unknown
demoxytocin,demoxytocin,demoxytocin,H01BB01,H01BB,Oxytocin and analogues,Oxytocin and analogues,unknown
denileukin diftitox,denileukin diftitox,denileukin diftitox,L01XX29,L01XX,Other antineoplastic agents,Other antineoplastic agents,unknown
denosumab,denosumab,denosumab,M05BX04,M05BX,Other drugs affecting bone structure and mineralization,Other drugs affecting bone structure and mineralization,unknown
deoxycholic acid,deoxycholic acid,deoxycholic acid,D11AX24,D11AX,Other dermatologicals,Other dermatologicals,unknown
deptropine,deptropine,deptropine,R06AX16,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
dequalinium,dequalinium,dequalinium,R02AA02,R02AA,Antiseptics,Antiseptics,unknown
dermatan sulfate,dermatan sulfate,dermatan sulfate,B01AX04,B01AX,Other antithrombotic agents,Other antithrombotic agents,unknown
desaspidin,desaspidin,desaspidin,P02DX01,P02DX,Other anticestodals,Other anticestodals,unknown
deserpidine,deserpidine,deserpidine,C02AA05,C02AA,Rauwolfia alkaloids,Rauwolfia alkaloids,unknown
desfesoterodine,desfesoterodine,desfesoterodine,G04BD13,G04BD,Drugs for urinary frequency and incontinence,Drugs for urinary frequency and incontinence,unknown
desflurane,desflurane,desflurane,N01AB07,N01AB,Halogenated hydrocarbons,Halogenated hydrocarbons,unknown
desipramine,desipramine,desipramine,N06AA01,N06AA,Non-selective monoamine reuptake inhibitors,Non-selective monoamine reuptake inhibitors,unknown
desirudin,desirudin,desirudin,B01AE01,B01AE,Direct thrombin inhibitors,Direct thrombin inhibitors,anticoagulant
deslanoside,deslanoside,deslanoside,C01AA07,C01AA,Digitalis glycosides,Digitalis glycosides,unknown
desloratadine,desloratadine,desloratadine,R06AX27,R06AX,Other antihistamines for systemic use,Other antihistamines for systemic use,antihistamine
desmopressin,desmopressin,desmopressin,H01BA02,H01BA,Vasopressin and analogues,Vasopressin and analogues,unknown
desogestrel,desogestrel,desogestrel,G03AC09,G03AC,Progestogens,Progestogens,unknown
desonide,desonide,desonide,D07AB08,D07AB,"Corticosteroids, moderately potent (group II)","Corticosteroids, moderately potent (group II)",unknown
desoximetasone,desoximetasone,desoximetasone,D07AC03,D07AC,"Corticosteroids, potent (group III)","Corticosteroids, potent (group III)",unknown
desoxycortone,desoxycortone,desoxycortone,H02AA03,H02AA,Mineralocorticoids,Mineralocorticoids,unknown
desoxyribonuclease,desoxyribonuclease,desoxyribonuclease,B06AA10,B06AA,Enzymes,Enzymes,unknown
